101 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.63,150.0,2360.64,56.0
2360.62,608.0,2360.65,126.0
2360.61,623.0,2360.66,223.69269845999997
2360.6,611.31279162,2360.67,257.0
2360.59,678.0,2360.68,300.0
2360.58,707.0,2360.69,386.0
2360.57,674.0,2360.7,413.0
2360.56,701.0,2360.71,459.0
2360.55,712.0,2360.72,520.0
2360.54,763.0,2360.73,491.0
155 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.62,462.0,2360.63,31.0
2360.61,623.0,2360.64,94.0
2360.6,611.31279162,2360.65,159.0
2360.59,683.0,2360.66,268.69269846
2360.58,713.0,2360.67,291.0
2360.57,685.0,2360.68,329.0
2360.56,706.0,2360.69,424.0
2360.55,725.0,2360.7,454.0
2360.54,778.0,2360.71,492.0
2360.53,683.0,2360.72,551.0
156 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.62,145.0,2360.63,77.0
2360.61,623.0,2360.64,138.0
2360.6,611.31279162,2360.65,202.0
2360.59,684.0,2360.66,308.69269846
2360.58,713.0,2360.67,329.0
2360.57,690.0,2360.68,364.0
2360.56,712.0,2360.69,461.0
2360.55,734.0,2360.7,476.0
2360.54,793.0,2360.71,527.0
2360.53,696.0,2360.72,575.0
157 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.61,456.0,2360.62,34.0
2360.6,611.31279162,2360.63,110.0
2360.59,684.0,2360.64,172.0
2360.58,713.0,2360.65,233.0
2360.57,693.0,2360.66,355.69269846
2360.56,720.0,2360.67,367.0
2360.55,741.0,2360.68,396.0
2360.54,805.0,2360.69,504.0
2360.53,711.0,2360.7,505.0
2360.52,757.0,2360.71,557.0
158 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.61,129.0,2360.62,85.0
2360.6,611.31279162,2360.63,138.0
2360.59,684.0,2360.64,219.0
2360.58,713.0,2360.65,268.0
2360.57,695.0,2360.66,393.69269846
2360.56,723.0,2360.67,405.0
2360.55,744.0,2360.68,440.0
2360.54,813.0,2360.69,527.0
2360.53,720.0,2360.7,533.0
2360.52,770.0,2360.71,581.0
159 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.6,440.31279162,2360.61,29.0
2360.59,684.0,2360.62,115.0
2360.58,713.0,2360.63,178.0
2360.57,696.0,2360.64,261.0
2360.56,729.0,2360.65,307.0
2360.55,755.0,2360.66,444.69269846
2360.54,818.0,2360.67,449.0
2360.53,733.0,2360.68,475.0
2360.52,781.0,2360.69,555.0
2360.51,736.0,2360.7,563.0
160 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.6,123.31279161999998,2360.61,77.0
2360.59,684.0,2360.62,142.0
2360.58,713.0,2360.63,222.0
2360.57,696.0,2360.64,306.0
2360.56,731.0,2360.65,351.0
2360.55,758.0,2360.66,476.69269846
2360.54,821.0,2360.67,479.0
2360.53,745.0,2360.68,503.0
2360.52,789.0,2360.69,586.0
2360.51,745.0,2360.7,588.0
161 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.59,517.31279162,2360.6,29.0
2360.58,713.0,2360.61,104.0
2360.57,696.0,2360.62,174.0
2360.56,732.0,2360.63,265.0
2360.55,763.0,2360.64,348.0
2360.54,828.0,2360.65,394.0
2360.53,755.0,2360.66,518.69269846
2360.52,801.0,2360.67,514.0
2360.51,756.0,2360.68,536.0
2360.5,815.5913885699999,2360.69,616.0
162 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.59,186.31279161999998,2360.6,60.0
2360.58,713.0,2360.61,139.0
2360.57,696.0,2360.62,215.0
2360.56,734.0,2360.63,295.0
2360.55,765.0,2360.64,388.0
2360.54,829.0,2360.65,434.0
2360.53,762.0,2360.66,552.69269846
2360.52,810.0,2360.67,543.0
2360.51,767.0,2360.68,562.0
2360.5,833.5913885699999,2360.69,640.0
163 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.58,618.31279162,2360.59,29.0
2360.57,696.0,2360.6,110.0
2360.56,734.0,2360.61,182.0
2360.55,765.0,2360.62,265.0
2360.54,835.0,2360.63,334.0
2360.53,767.0,2360.64,424.0
2360.52,820.0,2360.65,460.0
2360.51,776.0,2360.66,588.69269846
2360.5,844.5913885699999,2360.67,577.0
2360.49,810.0,2360.68,593.0
164 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.58,284.31279162,2360.59,67.0
2360.57,696.0,2360.6,149.0
2360.56,734.0,2360.61,215.0
2360.55,765.0,2360.62,305.0
2360.54,837.0,2360.63,377.0
2360.53,769.0,2360.64,471.0
2360.52,826.0,2360.65,494.0
2360.51,784.0,2360.66,608.69269846
2360.5,853.5913885699999,2360.67,600.0
2360.49,823.0,2360.68,620.0
165 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.57,665.31279162,2360.58,36.0
2360.56,734.0,2360.59,103.0
2360.55,765.0,2360.6,194.0
2360.54,840.0,2360.61,254.0
2360.53,775.0,2360.62,343.0
2360.52,833.0,2360.63,413.0
2360.51,793.0,2360.64,514.0
2360.5,866.5913885699999,2360.65,530.0
2360.49,839.0,2360.66,627.69269846
2360.48,846.0,2360.67,636.0
